epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,427.028,0.65863,0.4301,0.90701,0.96491,0.95938,0.98877,0.85129,0.70972,0.44737,0.93159,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,438.674,0.64887,0.42424,0.91175,0.96817,0.95818,0.98933,0.85027,0.70631,0.43563,0.92356,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,450.451,0.63398,0.41689,0.90242,0.96964,0.96057,0.98958,0.84202,0.72982,0.43539,0.92839,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,462.269,0.64449,0.42114,0.90538,0.96905,0.95699,0.98984,0.85028,0.73174,0.4296,0.93082,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,474.153,0.62857,0.41191,0.90178,0.96513,0.95897,0.98836,0.83901,0.7463,0.45083,0.93762,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,485.785,0.63207,0.41179,0.89834,0.96295,0.96265,0.98949,0.84463,0.7226,0.43552,0.93873,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,497.57,0.62222,0.40252,0.90364,0.95728,0.96535,0.98872,0.84131,0.76956,0.43396,0.95744,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,512.067,0.60013,0.39524,0.89092,0.96763,0.96655,0.98973,0.85546,0.70658,0.42828,0.91837,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,526.038,0.60791,0.39597,0.89461,0.95921,0.97013,0.9899,0.85288,0.70347,0.41327,0.92727,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,539.454,0.60526,0.39529,0.89364,0.96078,0.97013,0.98964,0.84406,0.73357,0.43124,0.93561,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,554.394,0.61086,0.39535,0.89473,0.977,0.95818,0.98908,0.85121,0.69819,0.40899,0.92504,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,568.588,0.60872,0.38815,0.89298,0.95785,0.96894,0.98918,0.8531,0.71106,0.40281,0.93587,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,582.153,0.59295,0.38588,0.89244,0.95417,0.96655,0.98868,0.85303,0.71082,0.4138,0.92336,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,595.492,0.57948,0.38178,0.88768,0.96861,0.95848,0.98907,0.85309,0.69757,0.4027,0.93258,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,609.365,0.59315,0.38432,0.89163,0.95951,0.96272,0.98904,0.85226,0.70268,0.41269,0.93864,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,623.292,0.577,0.37556,0.89043,0.96735,0.95564,0.9885,0.85282,0.70752,0.41032,0.9344,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,639.74,0.57798,0.37268,0.88948,0.97556,0.95221,0.98935,0.84788,0.72859,0.4155,0.94521,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,653.257,0.57673,0.37576,0.88422,0.95848,0.96532,0.98844,0.85319,0.72103,0.40885,0.94114,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
